   0.191131000E-03       0.995218150E+03
   0.194992000E-03       0.101460261E+04
   0.198931000E-03       0.103437483E+04
   0.202950000E-03       0.105452414E+04
   0.207050000E-03       0.107506498E+04
   0.211232000E-03       0.109600176E+04
   0.215499000E-03       0.111734896E+04
   0.219853000E-03       0.113910477E+04
   0.224294000E-03       0.116127933E+04
   0.228825000E-03       0.118388701E+04
   0.233448000E-03       0.120693717E+04
   0.238164000E-03       0.123043410E+04
   0.242975000E-03       0.125437480E+04
   0.247883000E-03       0.127878038E+04
   0.252891000E-03       0.130366510E+04
   0.258000000E-03       0.132902012E+04
   0.263212000E-03       0.135486719E+04
   0.268529000E-03       0.138121550E+04
   0.273954000E-03       0.140807915E+04
   0.279488000E-03       0.143544818E+04
   0.285134000E-03       0.146335023E+04
   0.290894000E-03       0.149177967E+04
   0.296770000E-03       0.152075965E+04
   0.302766000E-03       0.155030907E+04
   0.308882000E-03       0.158041144E+04
   0.315122000E-03       0.161110053E+04
   0.321488000E-03       0.164238526E+04
   0.327982000E-03       0.167425801E+04
   0.334608000E-03       0.170675335E+04
   0.341367000E-03       0.173985800E+04
   0.348263000E-03       0.177360705E+04
   0.355299000E-03       0.180799636E+04
   0.362476000E-03       0.184302865E+04
   0.369799000E-03       0.187876325E+04
   0.377269000E-03       0.191514834E+04
   0.384890000E-03       0.195223857E+04
   0.392666000E-03       0.199005226E+04
   0.400598000E-03       0.202855301E+04
   0.408691000E-03       0.206780235E+04
   0.416947000E-03       0.210780865E+04
   0.425370000E-03       0.214856883E+04
   0.433963000E-03       0.219009484E+04
   0.442729000E-03       0.223239852E+04
   0.451673000E-03       0.227552381E+04
   0.460797000E-03       0.231945594E+04
   0.470106000E-03       0.236421625E+04
   0.479603000E-03       0.240981622E+04
   0.489292000E-03       0.245629633E+04
   0.499176000E-03       0.250361993E+04
   0.509260000E-03       0.255185682E+04
   0.519548000E-03       0.260097311E+04
   0.530043000E-03       0.265103060E+04
   0.540751000E-03       0.270202955E+04
   0.551675000E-03       0.275398074E+04
   0.562819000E-03       0.280687197E+04
   0.574189000E-03       0.286078314E+04
   0.585788000E-03       0.291569750E+04
   0.597622000E-03       0.297161047E+04
   0.609695000E-03       0.302856524E+04
   0.622011000E-03       0.308657664E+04
   0.634577000E-03       0.314567378E+04
   0.647396000E-03       0.320583473E+04
   0.660474000E-03       0.326714621E+04
   0.673817000E-03       0.332956808E+04
   0.687429000E-03       0.339311254E+04
   0.701316000E-03       0.345783531E+04
   0.715484000E-03       0.352375965E+04
   0.729937000E-03       0.359086363E+04
   0.744683000E-03       0.365917763E+04
   0.759727000E-03       0.372879130E+04
   0.775074000E-03       0.379961166E+04
   0.790732000E-03       0.387174287E+04
   0.806706000E-03       0.394516317E+04
   0.823002000E-03       0.401989215E+04
